measurement_no,sea_level
1,-40.28
2,-44.2
3,-44.17
4,-46.32
5,-40.91
6,-39.32
7,-38.86
8,-37.62
9,-37.8
10,-45.73
11,-39.55
12,-36.22
13,-38.38
14,-41.33
15,-42.35
16,-42.08
17,-39.13
18,-39.16
19,-39.82
20,-41.09
21,-37.32
22,-39.97
23,-39.5
24,-35.68
25,-34.51
26,-36.13
27,-37.06
28,-33.18
29,-29.57
30,-31.83
31,-35.9
32,-34.04
33,-35.48
34,-37.29
35,-35.8
36,-30.41
37,-33.56
38,-37.04
39,-35.12
40,-33.14
41,-38.84
42,-42.11
43,-41.12
44,-37.06
45,-41.48
46,-32.31
47,-35.95
48,-36.5
49,-37.94
50,-39.68
51,-41.44
52,-43.95
53,-41.64
54,-38.83
55,-47.26
56,-43.55
57,-39.37
58,-38.91
59,-38.92
60,-39.09
61,-36.84
62,-36.33
63,-32.85
64,-33.76
65,-34.46
66,-32.35
67,-30.57
68,-32.03
69,-26.29
70,-34.84
71,-37.72
72,-34.4
73,-32.64
74,-32.04
75,-32.28
76,-34.56
77,-31.74
78,-36.58
79,-41.08
80,-36.51
81,-35.18
82,-31.25
83,-37.68
84,-38.7
85,-38.02
86,-37.53
87,-43.88
88,-40.21
89,-38.51
90,-36.75
91,-39.84
92,-41.51
93,-36.65
94,-39.79
95,-39.99
96,-39.43
97,-36.54
98,-35.67
99,-32.37
100,-30.85
101,-24.76
102,-29.12
103,-30.09
104,-35.8
105,-30.18
106,-30.1
107,-27.79
108,-49.44
109,-32.24
110,-28.39
111,-34.89
112,-37.62
113,-39.82
114,-40.32
115,-33.59
116,-36.92
117,-34.13
118,-37.42
119,-35.54
120,-35.69
121,-36.88
122,-38.36
123,-34.57
124,-33.65
125,-35.21
126,-33.92
127,-35.02
128,-34.79
129,-32.72
130,-33.63
131,-32.01
132,-28.12
133,-30.33
134,-31.13
135,-30.22
136,-31.95
137,-27.89
138,-23.72
139,-24.6
140,-26.63
141,-21.15
142,-18.49
143,-21.58
144,-28.31
145,-27.57
146,-26.82
147,-31
148,-32.62
149,-30.61
150,-34.42
151,-32.29
152,-34.04
153,-33.43
154,-33.26
155,-34.22
156,-31.94
157,-30.75
158,-29.85
159,-35.06
160,-33.79
161,-29.95
162,-33.29
163,-28.3
164,-30.45
165,-31.4
166,-29.49
167,-29.41
168,-23.49
169,-25.03
170,-26.25
171,-22.09
172,-19.69
173,-18.33
174,-16.51
175,-15.02
176,-8.73
177,-13.18
178,-16.56
179,-13.72
180,-17.47
181,-20.02
182,-17.92
183,-22.89
184,-22.33
185,-26.4
186,-22.99
187,-26.04
188,-23.54
189,-23.32
190,-24.33
191,-25.32
192,-22.3
193,-23.31
194,-22.91
195,-21.94
196,-22.13
197,-23.09
198,-26.49
199,-24.75
200,-28.1
201,-28.59
202,-29.37
203,-26.46
204,-26.32
205,-28.75
206,-27.65
207,-27
208,-27.48
209,-24.08
210,-22.05
211,-21.27
212,-21.14
213,-19.33
214,-23.38
215,-18.15
216,-19.37
217,-20.03
218,-23.74
219,-18.09
220,-22.42
221,-21.89
222,-23.75
223,-21.95
224,-28.18
225,-26.9
226,-20.22
227,-23.28
228,-22.08
229,-23.87
230,-22.53
231,-24.66
232,-22.63
233,-27.63
234,-25.37
235,-23.93
236,-28
237,-25.82
238,-28.46
239,-25.88
240,-24.4
241,-24.11
242,-24.51
243,-22.88
244,-22.82
245,-17.72
246,-22.22
247,-17.4
248,-14.5
249,-15.14
